# mapping_set_id: https://github.com/bridgedb/tiwid/raw/refs/heads/main/artifacts/tiwid.sssom.tsv
# mapping_set_description: This Is Where Identifiers Die
# license: https://creativecommons.org/publicdomain/zero/1.0/
# curie_map:
#   cas: https://commonchemistry.cas.org/detail?cas_rn=
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   chemspider: https://bioregistry.io/chemspider:
#   ensembl: https://www.ensembl.org/id/
#   hgnc.symbol: https://www.genenames.org/data/gene-symbol-report/#!/symbol/
#   hmdb: http://www.hmdb.ca/metabolites/
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   lipidmaps: http://www.lipidmaps.org/data/LMSDRecord.php?LMID=
#   molmedb: https://molmedb.upol.cz/mol/
#   omim: https://omim.org/MIM:
#   pmc: http://europepmc.org/articles/
#   ppr: https://europepmc.org/article/ppr/
#   pubchem.compound: https://pubchem.ncbi.nlm.nih.gov/compound/
#   pubmed: https://bioregistry.io/pubmed:
#   uniprot: http://purl.uniprot.org/uniprot/
#   wikidata: http://www.wikidata.org/entity/
#   wikipathways: http://www.wikipathways.org/instance/
subject_id	predicate_id	object_id	mapping_justification	mapping_date	author_id
ensembl:ENSG00000274250	IAO:0100001	ensembl:ENSG00000283797	semapv:ManualMappingCuration		
ensembl:ENSG00000274784	IAO:0100001	ensembl:ENSG00000284231	semapv:ManualMappingCuration		
ensembl:ENSG00000275042	IAO:0100001	ensembl:ENSG00000284536	semapv:ManualMappingCuration		
ensembl:ENSG00000275534	IAO:0100001	ensembl:ENSG00000283762	semapv:ManualMappingCuration		
ensembl:ENSG00000275668	IAO:0100001	ensembl:ENSG00000284214	semapv:ManualMappingCuration		
ensembl:ENSG00000275739	IAO:0100001	ensembl:ENSG00000284112	semapv:ManualMappingCuration		
ensembl:ENSG00000275802	IAO:0100001	ensembl:ENSG00000284375	semapv:ManualMappingCuration		
ensembl:ENSG00000276018	IAO:0100001	ensembl:ENSG00000283705	semapv:ManualMappingCuration		
ensembl:ENSG00000276752	IAO:0100001	ensembl:ENSG00000284203	semapv:ManualMappingCuration		
ensembl:ENSG00000276792	IAO:0100001	ensembl:ENSG00000283927	semapv:ManualMappingCuration		
ensembl:ENSG00000277328	IAO:0100001	ensembl:ENSG00000283844	semapv:ManualMappingCuration		
ensembl:ENSG00000277934	IAO:0100001	ensembl:ENSG00000284033	semapv:ManualMappingCuration		
ensembl:ENSG00000282827	IAO:0100001	ensembl:ENSG00000164053	semapv:ManualMappingCuration		
ensembl:ENSG00000283147	IAO:0100001	ensembl:ENSG00000283147.1	semapv:ManualMappingCuration		
hgnc.symbol:CARS	IAO:0100001	hgnc.symbol:CARS1	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:CASC4	IAO:0100001	hgnc.symbol:GOLM2	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:DOPEY1	IAO:0100001	hgnc.symbol:DOP1A	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:MARCH1	IAO:0100001	hgnc.symbol:MARCHF1	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:OTX3	IAO:0100001	hgnc.symbol:DMBX1	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:RNASEN	IAO:0100001	hgnc.symbol:DROSHA	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:SEPT1	IAO:0100001	hgnc.symbol:SEPTIN1	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:TMEM206	IAO:0100001	hgnc.symbol:PACC1	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:TWISTNB	IAO:0100001	hgnc.symbol:POLR1F	semapv:ManualMappingCuration	2020-08-03	
hgnc.symbol:WARS	IAO:0100001	hgnc.symbol:WARS1	semapv:ManualMappingCuration	2020-08-03	
hmdb:HMDB0001001	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0001303	IAO:0100001	hmdb:HMDB0015532	semapv:ManualMappingCuration		
hmdb:HMDB0005069	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0011666	IAO:0100001	hmdb:HMDB0011111	semapv:ManualMappingCuration		
hmdb:HMDB0013119	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013120	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013135	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013323	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013644	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013661	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013666	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013673	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0013697	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
hmdb:HMDB0014330	IAO:0100001	hmdb:HMDB0001934	semapv:ManualMappingCuration		
lipidmaps:LMFA01031174	IAO:0100001	lipidmaps:LMPR04000041	semapv:ManualMappingCuration	2022-08-23	
lipidmaps:LMFA01031199	IAO:0100001	lipidmaps:LMFA01060232	semapv:ManualMappingCuration	2020-10-07	
lipidmaps:LMFA01040004	IAO:0100001	lipidmaps:LMFA02000100	semapv:ManualMappingCuration		
lipidmaps:LMFA01040006	IAO:0100001	lipidmaps:LMFA02000101	semapv:ManualMappingCuration		
lipidmaps:LMFA01040007	IAO:0100001	lipidmaps:LMFA02000102	semapv:ManualMappingCuration		
lipidmaps:LMFA01040008	IAO:0100001	lipidmaps:LMFA02000103	semapv:ManualMappingCuration		
lipidmaps:LMFA01040009	IAO:0100001	lipidmaps:LMFA02000104	semapv:ManualMappingCuration		
lipidmaps:LMFA01040010	IAO:0100001	lipidmaps:LMFA02000105	semapv:ManualMappingCuration		
lipidmaps:LMFA01040011	IAO:0100001	lipidmaps:LMFA02000106	semapv:ManualMappingCuration		
lipidmaps:LMFA01040012	IAO:0100001	lipidmaps:LMFA02000107	semapv:ManualMappingCuration		
lipidmaps:LMFA01040013	IAO:0100001	lipidmaps:LMFA02000108	semapv:ManualMappingCuration		
lipidmaps:LMFA01040014	IAO:0100001	lipidmaps:LMFA02000109	semapv:ManualMappingCuration		
lipidmaps:LMFA01040015	IAO:0100001	lipidmaps:LMFA02000110	semapv:ManualMappingCuration		
lipidmaps:LMFA01040016	IAO:0100001	lipidmaps:LMFA02000111	semapv:ManualMappingCuration		
lipidmaps:LMFA01040034	IAO:0100001	lipidmaps:LMFA02000112	semapv:ManualMappingCuration		
lipidmaps:LMFA01040066	IAO:0100001	lipidmaps:LMFA02000113	semapv:ManualMappingCuration		
lipidmaps:LMFA01040067	IAO:0100001	lipidmaps:LMFA02000114	semapv:ManualMappingCuration		
lipidmaps:LMFA01040068	IAO:0100001	lipidmaps:LMFA02000115	semapv:ManualMappingCuration		
lipidmaps:LMFA01040069	IAO:0100001	lipidmaps:LMFA02000116	semapv:ManualMappingCuration		
lipidmaps:LMFA01040070	IAO:0100001	lipidmaps:LMFA02000117	semapv:ManualMappingCuration		
lipidmaps:LMFA01040071	IAO:0100001	lipidmaps:LMFA02000118	semapv:ManualMappingCuration		
lipidmaps:LMFA01040072	IAO:0100001	lipidmaps:LMFA02000119	semapv:ManualMappingCuration		
lipidmaps:LMFA01050054	IAO:0100001	lipidmaps:LMFA02000120	semapv:ManualMappingCuration		
lipidmaps:LMFA01050055	IAO:0100001	lipidmaps:LMFA02000121	semapv:ManualMappingCuration		
lipidmaps:LMFA01050056	IAO:0100001	lipidmaps:LMFA02000122	semapv:ManualMappingCuration		
lipidmaps:LMFA01050057	IAO:0100001	lipidmaps:LMFA02000123	semapv:ManualMappingCuration		
lipidmaps:LMFA01050058	IAO:0100001	lipidmaps:LMFA02000124	semapv:ManualMappingCuration		
lipidmaps:LMFA01050059	IAO:0100001	lipidmaps:LMFA02000125	semapv:ManualMappingCuration		
lipidmaps:LMFA01050060	IAO:0100001	lipidmaps:LMFA02000126	semapv:ManualMappingCuration		
lipidmaps:LMFA01050061	IAO:0100001	lipidmaps:LMFA02000127	semapv:ManualMappingCuration		
lipidmaps:LMFA01050062	IAO:0100001	lipidmaps:LMFA02000128	semapv:ManualMappingCuration		
lipidmaps:LMFA01050063	IAO:0100001	lipidmaps:LMFA02000129	semapv:ManualMappingCuration		
