#did	when	nextofkin
Q13172821		Q191381
Q7564349		Q191521
Q12457104		Q191521
Q17249539		Q191521
Q12414037		Q191831
Q97264422		Q191831
Q12458569		Q193572
Q17116117		Q193572
Q25514499		Q193572
Q31668675		Q193572
Q12458577		Q413349
Q12433094		Q413426
Q15645577		Q413437
Q12235824		Q413546
Q12457477		Q413828
Q16611966		Q413828
Q12446729		Q414168
Q25101739		Q11255995
Q21099630		Q11370589
Q16524585		Q12457481
Q65563758		Q18028440
Q72484871		Q23570653
Q27258569		Q25091461
Q27275868		Q25091463
Q27149239		Q25111432
Q12442536		Q407270
Q12819428		Q407270
Q5959903		Q407318
Q11976334		Q407318
Q12460164		Q407318
Q12652024		Q407635
Q12421305		Q407849
Q72478340		Q408400
Q18397730		Q408403
Q6659269		Q408663
Q12442506		Q408727
Q13169170		Q408880
Q6076782		Q408898
Q12763990		Q409028
Q12414433		Q409057
Q13165984		Q409057
Q12415636		Q409133
Q12569113		Q409375
Q12957442		Q409375
Q12108648		Q409630
Q12419180		Q409630
Q25485162		Q409630
Q28454911		Q409630
Q6005191		Q409703
Q15725706		Q409966
Q12451573		Q410026
Q12446712		Q410431
Q10303414		Q410683
Q31801444		Q410683
Q12441262		Q410915
Q12535653		Q410915
Q12553775		Q411046
Q12429175		Q411169
Q15695205		Q411436
Q65286417		Q411535
Q65166962		Q411648
Q4492120		Q411853
Q12414432		Q411853
Q21082835		Q411853
Q12818000		Q412085
Q25600835		Q412085
Q86011226		Q412572
Q65162596		Q412699
Q12430632		Q412845
Q18371490		Q413008
Q12168703		Q418318
Q10282988		Q418669
Q65162899		Q418669
Q17629333		Q418812
Q15659090		Q414357
Q65406017		Q414537
Q17624179		Q414659
Q65167236		Q414954
Q15665989		Q415256
Q12412649		Q415376
Q9090070		Q415688
Q12417013		Q415850
Q5728342		Q415877
Q12421742		Q415939
Q75067457		Q416096
Q12415659		Q416291
Q12415671		Q416291
Q12447981		Q416416
Q113161847		Q416451
Q15633293		Q416632
Q25519237		Q143746
Q27078068		Q5393571
Q17631825		Q5418774
Q86007152		Q5418774
Q27271571		Q5424151
Q61990545		Q5443204
Q65162895		Q5462887
Q65167602		Q5462967
Q72501882		Q7234709
Q12387227		Q423302
Q85990268		Q423404
Q109260870		Q423404
Q12438676		Q423762
Q12968995		Q423762
Q16578076		Q423842
Q12450707		Q423995
Q21086617		Q424484
Q31091013		Q424484
Q12414040		Q424486
Q18211419		Q424486
Q42807562		Q424521
Q11339314		Q424631
Q3639780		Q424699
Q12458524		Q424790
Q5404447		Q424825
Q16634187		Q424902
Q12738446		Q424972
Q12961016		Q425078
Q12442514		Q425119
Q15632982		Q425190
Q17154625		Q425193
Q15644417		Q425211
Q13169058		Q425252
Q21099230		Q5526828
Q65167628		Q5529721
Q18845476		Q5618951
Q27123315		Q5618951
Q72475099		Q5656537
Q16668865		Q5732121
Q16633654		Q5919049
Q72443534		Q5931064
Q15628210		Q5931256
Q64359157		Q425285
Q15678750		Q425668
Q65168145		Q426054
Q16634527		Q426852
Q19595877		Q467656
Q12873198		Q481798
Q12883353		Q511638
Q21099219		Q544393
Q76306543		Q579645
Q12412876		Q590622
Q76100329		Q617686
Q3748303		Q637247
Q11922614		Q637247
Q12439640		Q637247
Q86004827		Q723117
Q15726152		Q733186
Q5695890		Q742266
Q108611622		Q105994042
Q12828573		Q12144
Q25600948		Q181699
Q31793116		Q181699
Q55703997		Q181699
Q12778591		Q187706
Q13167319		Q187706
Q19682009		Q187706
Q19671538		Q243547
Q27457174		Q285687
Q72439128		Q285687
Q72439137		Q285687
Q76967546		Q285687
Q19714659		Q412043
Q65168198		Q414788
Q7887014		Q423390
Q3945664		Q424333
Q12415639		Q426220
Q12632256		Q462174
Q25532814		Q462174
Q66589557		Q484583
Q11790456		Q599052
Q5280039		Q905978
Q103857594		Q905978
Q76100235		Q1235560
Q90010331		Q1235560
Q4198808		Q1674522
Q12744429		Q2823212
Q72438460		Q2823212
Q20966396		Q3180940
Q27264119		Q3215899
Q2950919		Q3495348
Q19803151		Q3495348
Q12824989		Q4228818
Q27294022		Q4639615
Q16683142		Q4922484
Q13026616		Q5134930
Q1225724		Q5277308
Q104667069		Q18349719
Q25933585		Q19606345
Q103856352		Q107124490
Q12828573		Q12144
Q72513787		Q161457
Q12559234		Q184398
Q12818628		Q184398
Q22934913		Q184398
Q65225001		Q27254478
Q72515306		Q27258488
Q60785024		Q27280952
Q65167493		Q27280952
Q74411185		Q27881752
Q48566787		Q28856418
Q20411007		Q28859622
Q48566785		Q28859659
Q82854506		Q65224815
Q24686379		Q72441859
Q109373907		Q82157297
Q13172892		Q308976
Q55701130		Q308976
Q27032306		Q417718
Q28852437		Q420857
Q28852699		Q420857
Q12829068		Q497073
Q21086619		Q497073
Q50430275		Q505199
Q12376088		Q764245
Q12716113		Q764245
Q86010072		Q764245
Q5734926		Q863389
Q48566626		Q2869808
Q65162414		Q4726988
Q48566780		Q5368263
Q48566829		Q7531599
Q22075896		Q7692232
Q28852341		Q7692232
Q28859606		Q17125410
Q48566741		Q17125410
Q28852421		Q22075876
Q28852682		Q22075876
Q2761578		Q179452
Q16615629		Q196473
Q5734188		Q209241
Q72483436		Q223092
Q15639361		Q413370
Q2823835		Q421143
Q27894356		Q1932398
Q12412647		Q2209121
Q72445403		Q27289857
Q28209403		Q27294523
Q72434747		Q63398464
Q662425		Q74411440
Q72507236		Q209332
Q12086559		Q906330
Q28859620		Q2412859
Q28859629		Q2412859
Q48566722		Q2412859
Q65167620		Q3044728
Q3769307		Q3604635
Q9376194		Q3604635
Q72509389		Q3995932
Q60980602		Q4030702
Q20415789		Q4998036
Q48566760		Q4998036
Q49180456		Q21601948
Q27137014		Q22329225
Q4864613		Q27073605
Q72461012		Q27122080
Q24666172		Q27253646
Q72492451		Q27292045
Q82855155		Q82006131
Q27163500		Q99157995
Q2759211		Q1054
Q12430172		Q1054
Q13046678		Q1054
Q13181476		Q1054
Q16040987		Q1054
Q16040991		Q1054
Q19746760		Q1054
Q19748255		Q1054
Q27115614		Q1054
Q65424706		Q1054
Q2759175		Q1096
Q12925658		Q1096
Q12955439		Q1096
Q13181816		Q1096
Q19746762		Q1096
Q19748159		Q1096
Q19833173		Q1096
Q31835626		Q1096
Q65424704		Q1096
Q12561183		Q185009
Q12560903		Q201703
Q65162542		Q340032
Q3276583		Q2362625
Q6001612		Q2362625
Q102362321		Q2362625
Q50218927		Q2918735
Q72444099		Q2918735
Q12368888		Q7216430
Q12826192		Q11236878
Q18696308		Q11236878
Q19258091		Q16801494
Q19798312		Q17394326
Q48566736		Q18208897
Q48566698		Q28859612
Q48566775		Q28859614
Q48566777		Q28859634
Q19607683		Q48564239
Q12458525		Q416641
Q15726139		Q416663
Q12419183		Q416688
Q21099096		Q416767
Q23503244		Q416767
Q25382506		Q416767
Q1125135		Q417125
Q12420752		Q417129
Q1176369		Q417194
Q1285980		Q417286
Q17628884		Q417497
Q12439667		Q418038
Q2649330		Q418042
Q16322562		Q418164
Q3999089		Q11474
Q10350381		Q11474
Q14927039		Q11474
Q19680617		Q11474
Q25627896		Q11474
Q12825485		Q43533
Q15126072		Q43533
Q21200540		Q43533
Q3798762		Q163767
Q12823363		Q163767
Q94237284		Q163767
Q103860087		Q163767
Q25533385		Q184996
Q65297583		Q184996
Q12481691		Q200656
Q28110594		Q200656
Q12963715		Q310491
Q19706870		Q2746959
Q1035546		Q4678005
Q1141043		Q5188058
Q5792182		Q5188058
Q113015349		Q5188058
Q14650090		Q5836105
Q16382923		Q5857145
Q97516522		Q5857145
Q5697347		Q6881918
Q6019104		Q6881918
Q12038232		Q6881918
Q21086639		Q6881918
Q21864308		Q6881918
Q50430328		Q6881918
Q1659860		Q18351124
Q471613		Q25324102
Q417646		Q107370465
Q20968578		Q107370465
Q27430389		Q107370465
Q72471241		Q209355
Q18472638		Q209433
Q3594644		Q209450
Q12462161		Q209450
Q15726015		Q209452
Q13174350		Q211433
Q12458813		Q211737
Q72508134		Q211737
Q75112748		Q211737
Q13174162		Q211972
Q5988231		Q223011
Q26961725		Q223011
Q65167182		Q223011
Q20965413		Q223036
Q2612599		Q230012
Q106542196		Q238477
Q25531713		Q239778
Q15659959		Q240557
Q12569363		Q252251
Q27286306		Q252251
Q16124948		Q254296
Q18364894		Q254296
Q27089065		Q259015
Q16117881		Q259930
Q12441968		Q271980
Q30973100		Q285790
Q86004601		Q291271
Q12457535		Q300850
Q12457536		Q300850
Q15726077		Q302865
Q15726076		Q309528
Q55700790		Q338869
Q113100472		Q347337
Q12526985		Q351461
Q16115186		Q372725
Q25532646		Q375837
Q12212863		Q382984
Q12629797		Q382984
Q12420863		Q407258
Q27888083		Q407258
Q84351391		Q27276370
Q60785024		Q27280952
Q65167493		Q27280952
Q12425069		Q181136
Q13167475		Q181136
